Time	Fish Count	Bear Count
0	10		10
1	10		10
2	10		10
3	10		10
4	10		10
5	10		10
6	10		10
7	10		10
8	10		10
9	10		10
10	10		10
11	10		10
12	10		10
13	10		10
14	10		10
15	10		10
16	10		10
17	10		10
18	10		10
19	10		10
20	10		10
21	10		10
22	10		10
23	10		10
24	10		10
25	9		10
26	9		10
27	9		10
28	9		10
29	9		10
30	9		10
31	9		10
32	9		10
33	9		10
34	9		10
35	9		10
36	9		10
37	9		10
38	9		10
39	9		10
40	9		10
41	9		10
42	9		10
43	9		10
44	9		10
45	9		10
46	9		10
47	9		10
48	9		10
49	9		10
50	9		10
51	9		10
52	9		10
53	9		10
54	9		10
55	9		10
56	9		10
57	9		10
58	9		10
59	9		10
60	9		10
61	9		10
62	9		10
63	9		10
64	9		10
65	9		10
66	9		10
67	9		10
68	9		11
69	9		11
70	9		11
71	9		11
72	9		11
73	9		11
74	9		11
75	9		11
76	9		11
77	9		11
78	9		11
79	9		11
80	9		11
81	9		11
82	9		11
83	9		11
84	9		11
85	9		11
86	9		11
87	9		11
88	9		11
89	9		11
90	9		11
91	9		11
92	9		11
93	9		11
94	9		11
95	9		11
96	9		11
97	9		11
98	9		11
99	9		12
100	9		12
101	9		12
102	9		12
103	9		12
104	9		12
105	9		12
106	9		12
107	9		12
108	9		12
109	9		12
110	9		12
111	9		12
112	9		12
113	9		12
114	9		12
115	9		12
116	9		12
117	9		12
118	9		12
119	9		12
120	9		12
121	9		12
122	8		12
123	8		12
124	8		13
125	8		13
126	8		14
127	8		14
128	8		14
129	8		14
130	8		14
131	8		14
132	8		14
133	8		14
134	8		14
135	8		14
136	8		14
137	8		14
138	8		14
139	8		14
140	8		14
141	8		14
142	8		14
143	8		14
144	8		14
145	8		14
146	8		14
147	8		14
148	8		14
149	8		14
150	8		13
151	8		13
152	8		13
153	8		13
154	8		13
155	8		13
156	8		13
157	8		13
158	8		13
159	8		13
160	8		13
161	8		13
162	8		13
163	8		13
164	8		13
165	8		13
166	8		13
167	8		13
168	8		13
169	8		13
170	8		13
171	8		13
172	8		13
173	8		13
174	8		13
175	8		13
176	8		14
177	8		14
178	8		14
179	8		13
180	8		13
181	8		13
182	8		13
183	8		13
184	8		13
185	8		13
186	8		13
187	8		13
188	8		13
189	7		13
190	7		13
191	7		13
192	7		13
193	7		13
194	7		13
195	7		13
196	7		13
197	7		13
198	7		12
199	7		12
200	7		12
201	7		12
202	7		12
203	7		12
204	7		12
205	7		12
206	7		12
207	7		12
208	7		12
209	7		12
210	7		12
211	7		12
212	7		12
213	7		12
214	7		12
215	7		12
216	7		12
217	7		12
218	7		12
219	7		12
220	7		12
221	7		12
222	7		12
223	7		12
224	7		12
225	7		12
226	7		12
227	7		12
228	7		12
229	7		12
230	7		12
231	7		12
232	7		12
233	7		12
234	7		12
235	7		12
236	7		12
237	7		12
238	7		13
239	7		13
240	7		13
241	7		13
242	7		13
243	7		13
244	7		13
245	7		13
246	7		14
247	7		14
248	7		14
249	7		14
250	7		14
251	7		15
252	7		15
253	7		15
254	7		15
255	7		15
256	7		15
257	7		15
258	7		15
259	7		14
260	7		14
261	7		14
262	7		14
263	7		14
264	7		14
265	7		14
266	7		14
267	7		14
268	7		14
269	7		14
270	7		14
271	7		14
272	7		14
273	7		14
274	7		14
275	7		14
276	7		14
277	7		14
278	7		14
279	7		14
280	7		14
281	7		14
282	7		14
283	7		14
284	7		14
285	8		14
286	8		14
287	8		14
288	8		14
289	8		14
290	8		14
291	8		14
292	8		14
293	8		14
294	8		14
295	8		14
296	8		14
297	8		14
298	8		14
299	8		14
300	8		14
301	8		14
302	8		14
303	8		14
304	8		14
305	8		14
306	8		14
307	8		14
308	8		15
309	8		15
310	8		15
311	8		15
312	8		15
313	8		15
314	8		15
315	8		14
316	8		14
317	8		14
318	8		14
319	8		14
320	8		14
321	8		14
322	8		14
323	8		14
324	8		14
325	8		14
326	8		14
327	8		14
328	8		14
329	8		14
330	8		14
331	8		14
332	8		14
333	8		14
334	8		14
335	8		14
336	8		14
337	8		14
338	8		14
339	8		14
340	8		14
341	8		14
342	8		14
343	8		14
344	8		14
345	8		14
346	8		14
347	8		14
348	8		14
349	8		14
350	8		14
351	8		14
352	8		14
353	8		14
354	8		14
355	8		14
356	8		14
357	8		14
358	8		13
359	8		13
360	8		13
361	8		13
362	8		13
363	8		13
364	8		13
365	8		13
366	8		13
367	8		13
368	8		13
369	8		13
370	8		13
371	8		13
372	8		12
373	8		12
374	8		12
375	8		12
376	8		12
377	8		12
378	8		12
379	8		12
